UID          PID    PPID  C STIME TTY          TIME CMD
root         284       2  0 04:42 ?        00:00:00 [raid5wq]
root         317       2  0 04:42 ?        00:00:04 [jbd2/nvme0n1p6-]
root         318       2  0 04:42 ?        00:00:00 [ext4-rsv-conver]
root         372       1  0 04:42 ?        00:00:01 /lib/systemd/systemd-journald
root         387       2  0 04:42 ?        00:00:00 [rpciod]
root         388       2  0 04:42 ?        00:00:00 [xprtiod]
root         391       2  0 04:42 ?        00:00:00 [kworker/9:1H-kblockd]
root         392       1  0 04:42 ?        00:00:00 /usr/sbin/blkmapd
root         399       2  0 04:42 ?        00:00:00 [kworker/0:1H-kblockd]
root         402       2  0 04:42 ?        00:00:00 [kworker/7:1H-kblockd]
root         408       1  0 04:42 ?        00:00:16 /lib/systemd/systemd-udevd
root         410       2  0 04:42 ?        00:00:00 [kworker/8:1H-kblockd]
root         455       2  0 04:42 ?        00:00:00 [kworker/4:1H-kblockd]
root         457       2  0 04:42 ?        00:00:00 [loop0]
root         460       2  0 04:42 ?        00:00:00 [kworker/2:1H-kblockd]
root         467       2  0 04:42 ?        00:00:00 [kworker/5:1H-events_highpri]
root         468       2  0 04:42 ?        00:00:00 [kworker/1:1H-kblockd]
root         469       2  0 04:42 ?        00:00:00 [loop1]
root         475       2  0 04:42 ?        00:00:00 [kmemstick]
root         476       2  0 04:42 ?        00:00:00 [loop2]
root         477       2  0 04:42 ?        00:00:00 [kworker/10:1H-kblockd]
root         487       2  0 04:42 ?        00:00:00 [cfg80211]
root         504       2  0 04:42 ?        00:00:48 [irq/163-iwlwifi]
root         506       2  0 04:42 ?        00:00:08 [irq/164-iwlwifi]
root         507       2  0 04:42 ?        00:00:06 [irq/165-iwlwifi]
root         511       2  0 04:42 ?        00:00:06 [irq/166-iwlwifi]
root         512       2  0 04:42 ?        00:00:05 [irq/167-iwlwifi]
root         513       2  0 04:42 ?        00:00:11 [irq/168-iwlwifi]
root         515       2  0 04:42 ?        00:00:15 [irq/169-iwlwifi]
root         516       2  0 04:42 ?        00:00:19 [irq/170-iwlwifi]
root         517       2  0 04:42 ?        00:00:01 [irq/171-iwlwifi]
root         518       2  0 04:42 ?        00:00:05 [irq/172-iwlwifi]
root         519       2  0 04:42 ?        00:00:03 [irq/173-iwlwifi]
root         520       2  0 04:42 ?        00:00:03 [irq/174-iwlwifi]
root         521       2  0 04:42 ?        00:00:13 [irq/175-iwlwifi]
root         522       2  0 04:42 ?        00:00:00 [irq/176-iwlwifi]
root         540       2  0 04:42 ?        00:00:00 [loop3]
root         549       2  0 04:42 ?        00:00:00 [cryptd]
root         550       2  0 04:42 ?        00:00:00 [loop4]
root         555       2  0 04:42 ?        00:00:00 [kworker/11:1H-kblockd]
